

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
037.654  000.160  000.160: require('nvim-tree.actions.moves.sibling')
037.656  000.401  000.085: require('nvim-tree.actions.moves')
037.778  000.038  000.038: require('nvim-tree.actions.node.file-popup')
037.892  000.113  000.113: require('nvim-tree.actions.node.open-file')
037.937  000.043  000.043: require('nvim-tree.actions.node.run-command')
037.983  000.046  000.046: require('nvim-tree.actions.node.system-open')
037.985  000.328  000.087: require('nvim-tree.actions.node')
038.081  000.053  000.053: require('nvim-tree.actions.root.change-dir')
038.155  000.072  000.072: require('nvim-tree.actions.root.dir-up')
038.156  000.169  000.044: require('nvim-tree.actions.root')
038.258  000.053  000.053: require('nvim-tree.actions.tree.find-file')
038.386  000.067  000.067: require('nvim-tree.actions.tree.modifiers.collapse-all')
038.456  000.069  000.069: require('nvim-tree.actions.tree.modifiers.expand-all')
038.498  000.042  000.042: require('nvim-tree.actions.tree.modifiers.toggles')
038.500  000.241  000.063: require('nvim-tree.actions.tree.modifiers')
038.567  000.067  000.067: require('nvim-tree.actions.tree.open')
038.613  000.044  000.044: require('nvim-tree.actions.tree.toggle')
038.615  000.459  000.055: require('nvim-tree.actions.tree')
038.617  001.702  000.030: require('nvim-tree.actions')
039.155  000.337  000.337: require('nvim-tree.keymap')
039.173  000.553  000.216: require('nvim-tree.help')
039.273  000.098  000.098: require('nvim-tree.marks.navigation')
039.352  000.076  000.076: require('nvim-tree.marks.bulk-delete')
039.445  000.090  000.090: require('nvim-tree.marks.bulk-trash')
039.554  000.106  000.106: require('nvim-tree.marks.bulk-move')
039.626  002.760  000.134: require('nvim-tree.api')
039.638  002.817  000.057: require('nvim-tree.commands')
039.726  000.086  000.086: require('nvim-tree.legacy')
040.169  000.407  000.407: require('vim.diagnostic')
040.198  004.861  000.380: require('nvim-tree')
041.461  000.417  000.417: require('nvim-web-devicons.icons-default')
041.637  000.738  000.321: require('nvim-web-devicons')
044.734  000.233  000.233: require('mason-core.path')
045.403  000.506  000.506: require('mason-core.functional')
045.769  000.135  000.135: require('mason-core.functional.data')
045.783  000.351  000.216: require('mason-core.functional.function')
045.873  000.075  000.075: require('mason-core.functional.relation')
045.990  000.098  000.098: require('mason-core.functional.logic')
046.056  001.318  000.288: require('mason-core.platform')
046.191  000.133  000.133: require('mason.settings')
046.193  002.271  000.586: require('mason')
046.466  000.043  000.043: require('mason-core.functional.list')
046.496  000.027  000.027: require('mason-core.functional.string')
046.513  000.206  000.136: require('mason.api.command')
046.548  000.030  000.030: require('mason-registry.sources')
047.132  000.023  000.023: require('treesj.langs.default_preset')
047.466  000.384  000.360: require('treesj.langs.utils')
047.666  000.611  000.227: require('treesj.langs.javascript')
047.875  000.206  000.206: require('treesj.langs.typescript')
047.977  000.100  000.100: require('treesj.langs.lua')
048.063  000.084  000.084: require('treesj.langs.html')
048.096  000.031  000.031: require('treesj.langs.json')
048.138  000.041  000.041: require('treesj.langs.jsonc')
048.159  000.019  000.019: require('treesj.langs.json5')
048.191  000.031  000.031: require('treesj.langs.vue')
048.242  000.050  000.050: require('treesj.langs.css')
048.287  000.026  000.026: require('treesj.langs.scss')
048.315  000.026  000.026: require('treesj.langs.tsx')
048.490  000.174  000.174: require('treesj.langs.perl')
048.531  000.038  000.038: require('treesj.langs.php')
048.601  000.026  000.026: require('treesj.utils')
048.721  000.190  000.164: require('treesj.langs.ruby')
048.844  000.121  000.121: require('treesj.langs.go')
048.886  000.039  000.039: require('treesj.langs.java')
048.910  000.023  000.023: require('treesj.langs.pug')
048.937  000.024  000.024: require('treesj.langs.svelte')
049.022  000.085  000.085: require('treesj.langs.rust')
049.120  000.096  000.096: require('treesj.langs.python')
049.160  000.038  000.038: require('treesj.langs.starlark')
049.197  000.036  000.036: require('treesj.langs.r')
049.276  000.057  000.057: require('treesj.langs.c')
049.283  000.085  000.028: require('treesj.langs.cpp')
049.311  000.027  000.027: require('treesj.langs.toml')
049.337  000.025  000.025: require('treesj.langs.yaml')
049.378  000.040  000.040: require('treesj.langs.nix')
049.412  000.033  000.033: require('treesj.langs.kotlin')
049.469  000.056  000.056: require('treesj.langs.bash')
049.500  000.029  000.029: require('treesj.langs.sql')
049.539  000.038  000.038: require('treesj.langs.dart')
049.540  002.507  000.088: require('treesj.langs')
055.155  008.148  005.640: require('treesj.settings')
055.160  008.563  000.416: require('treesj')
065.470  000.034  000.034: require('lualine_require')
065.737  000.624  000.590: require('lualine')
071.603  000.262  000.262: require('lualine.utils.mode')
074.146  000.098  000.098: sourcing /home/met/.local/bin/nvim-linux64/share/nvim/runtime/plugin/editorconfig.lua
074.361  000.165  000.165: sourcing /home/met/.local/bin/nvim-linux64/share/nvim/runtime/plugin/gzip.vim
074.391  000.007  000.007: sourcing /home/met/.local/bin/nvim-linux64/share/nvim/runtime/plugin/health.vim
074.497  000.089  000.089: sourcing /home/met/.local/bin/nvim-linux64/share/nvim/runtime/plugin/man.lua
